,0
0,5957.176
1,5981.896
2,5990.314
3,5994.447
4,5986.274
5,5973.22
6,5973.492
7,5983.373
8,5973.78
9,5961.715
10,5985.812
11,5997.007
12,5969.085
13,5962.092
14,5988.725
15,5980.602
16,5967.903
17,6013.894
18,6016.949
19,5996.481
20,6006.199
21,6010.002
22,6014.508
23,6027.876
24,6039.01
25,6034.509
26,6032.603
27,6032.321
28,6048.955
29,6055.362
30,6052.8
31,6055.979
32,6023.155
33,6029.594
34,6033.634
35,6051.859
36,6048.32
37,6017.848
38,6034.1
39,6013.064
40,6030.825
41,6043.821
42,6040.931
43,6037.067
44,6045.357
45,6043.788
46,5991.791
47,5988.588
48,5985.492
49,6012.293
50,6024.5
51,6037.341
52,6056.453
53,6023.877
54,5943.733
55,5961.904
56,5976.288
57,5989.922
58,5971.142
59,5935.408
60,5894.347
61,5889.782
62,5746.444
63,5746.094
64,5763.216
65,5743.099
66,5753.407
67,5711.443
68,5747.946
69,5736.331
70,5718.967
71,5762.761
72,5701.388
73,5807.368
74,5853.848
75,5902.37
76,5935.206
77,5942.238
78,5970.158
79,5952.056
80,5952.846
81,5952.068
82,5952.552
83,5947.217
84,5938.728
85,5974.423
86,5974.36
87,5953.353
88,5943.046
89,5930.545
90,5928.424
91,5990.625
92,5988.591
93,5981.855
94,5979.934
95,5981.592
96,5950.786
97,5936.943
98,5964.272
99,5963.448
100,5913.472
101,5931.319
102,5928.492
103,5955.16
104,5977.257
105,5953.342
106,5977.186
107,5985.569
108,5984.667
109,6045.535
110,6020.469
111,6004.944
112,5982.892
113,5971.848
114,5976.014
115,5958.27
116,5916.803
117,5916.069
118,5937.158
119,5914.897
120,5939.861
121,5940.296
122,5933.841
123,5956.174
124,5984.083
125,6008.886
126,6007.069
127,5980.709
128,6007.815
129,5977.503
130,5946.872
131,5966.063
132,5977.652
133,5993.81
134,5978.174
135,5967.516
136,5978.646
137,5948.603
138,5861.176
139,5891.775
140,5895.261
141,5923.204
142,5913.632
143,5903.62
144,5902.859
145,5954.799
146,5968.374
147,5975.575
148,5987.771
149,6020.03
150,6027.067
151,6028.094
152,6044.219
153,6018.912
154,6059.263
155,6057.468
156,6042.494
157,6071.449
158,6094.56
159,6064.378
160,6097.091
161,6107.511
162,6106.367
163,6139.583
164,6124.824
165,6125.643
166,6123.149
167,6114.111
168,6134.876
169,6113.414
170,6120.202
171,6119.314
172,6115.821
173,6125.012
174,6099.779
175,6094.137
176,6107.803
177,6124.331
178,6120.943
179,6123.494
180,6133.718
181,6151.803
182,6141.098
183,6137.886
184,6127.416
185,6112.916
186,6123.024
187,6114.062
188,6111.539
189,6079.584
190,6122.551
191,6169.937
192,6198.791
193,6213.985
194,6217.682
195,6229.128
196,6231.267
197,6231.881
198,6244.387
199,6243.703
200,6261.638
201,6250.898
202,6249.695
203,6260.07
204,6260.999
205,6267.466
206,6269.505
207,6250.489
208,6251.771
209,6246.709
210,6269.624
211,6267.892
212,6281.048
213,6290.666
214,6278.279
215,6297.397
216,6291.057
217,6327.175
218,6301.703
219,6306.512
220,6277.484
221,6296.374
222,6314.954
223,6339.089
224,6319.793
225,6308.062
226,6302.977
227,6299.698
228,6311.816
229,6305.585
230,6319.601
231,6316.827
232,6312.826
233,6299.853
234,6320.063
235,6329.641
236,6337.007
237,6348.236
238,6358.417
239,6385.012
240,6357.203
241,6359.361
242,6312.499
243,6309.819
244,6345.29
245,6330.637
246,6280.672
247,6274.02
248,6309.03
249,6334.922
250,6363.083
251,6395.145
252,6413.812
253,6403.27
254,6414.265
255,6419.818
256,6438.538
257,6446.893
258,6438.034
259,6434.428
260,6446.563
261,6437.277
262,6430.324
263,6438.469
264,6439.917
265,6438.393
266,6453.873
267,6446.549
268,6429.03
269,6455.583
270,6459.626
271,6449.951
272,6438.283
273,6439.607
274,6435.857
275,6427.924
276,6438.811
277,6441.874
278,6441.016
279,6426.856
280,6396.022
281,6409.473
282,6409.101
283,6437.282
284,6436.488
285,6445.758
286,6420.088
287,6412.073
288,6407.034
289,6404.476
290,6391.834
291,6397.32
292,6373.293
293,6391.328
294,6390.478
295,6394.862
296,6431.938
297,6429.689
298,6446.739
299,6432.792
300,6418.955
301,6443.466
302,6448.295
303,6430.737
304,6449.426
305,6417.922
306,6414.801
307,6421.275
308,6419.602
309,6445.223
310,6475.526
311,6474.34
312,6468.586
313,6451.266
314,6442.709
315,6437.883
316,6433.835
317,6427.867
318,6430.524
319,6408.418
320,6400.73
321,6429.451
322,6413.527
323,6390.925
324,6383.562
325,6414.421
326,6424.396
327,6438.144
328,6422.535
329,6409.9
330,6403.792
331,6383.624
332,6408.783
333,6410.823
334,6456.177
335,6452.57
336,6443.121
337,6445.412
338,6454.067
339,6457.562
340,6467.613
341,6494.474
342,6499.338
343,6498.084
344,6499.578
345,6474.742
346,6323.965
347,6259.748
348,6251.216
349,6236.317
350,6229.289
351,6220.917
352,6246.035
353,6269.861
354,6225.323
355,6164.408
356,6202.473
357,6198.139
358,6220.787
359,6243.288
360,6239.854
361,6234.137
362,6235.293
363,6204.991
364,6237.729
365,6238.183
366,6239.914
367,6206.26
368,6202.892
369,6179.202
370,6106.254
371,6091.547
372,6097.687
373,6070.713
374,6074.223
375,6093.194
376,6117.386
377,6109.278
378,6100.749
379,6130.35
380,6113.058
381,6135.404
382,6123.11
383,6111.143
384,6119.607
385,6152.219
386,6168.509
387,6154.474
388,6180.665
389,6176.554
390,6179.248
391,6198.795
392,6187.449
393,6185.411
394,6183.851
395,6198.389
396,6194.203
397,6190.373
398,6196.441
399,6208.918
400,6220.612
401,6232.689
402,6226.004
403,6229.35
404,6238.231
405,6231.526
406,6239.073
407,6240.618
408,6218.922
409,6226.572
410,6236.392
411,6232.064
412,6207.416
413,6203.287
414,6191.647
415,6185.932
416,6202.183
417,6228.748
418,6231.311
419,6246.402
420,6256.347
421,6253.163
422,6290.756
423,6283.289
424,6290.39
425,6294.402
426,6303.94
427,6311.119
428,6324.166
429,6320.21
430,6318.857
431,6341.55
432,6336.536
433,6336.976
434,6356.839
435,6362.738
436,6336.233
437,6344.332
438,6319.113
439,6327.791
440,6318.268
