tradeTime,close,high,low,open,volume
2009-01-05 09:30,1848.326,1848.326,1848.326,1848.326,32929500.0
2009-01-05 09:45,1841.815,1854.701,1837.898,1853.135,479599800.0
2009-01-05 10:00,1849.368,1849.368,1840.514,1841.786,345109000.0
2009-01-05 10:15,1856.504,1860.131,1849.21,1849.751,458306800.0
2009-01-05 10:30,1869.88,1869.88,1855.462,1857.139,405340300.0
2009-01-05 10:45,1865.825,1870.691,1864.2,1869.946,266774000.0
2009-01-05 11:00,1861.409,1866.425,1858.043,1866.425,216272900.0
2009-01-05 11:15,1861.672,1864.825,1860.281,1861.319,157335000.0
2009-01-05 11:30,1858.108,1861.756,1856.548,1861.54,175349200.0
2009-01-05 13:15,1857.399,1861.075,1857.399,1859.362,172618600.0
2009-01-05 13:30,1849.844,1857.604,1849.566,1857.604,184010300.0
2009-01-05 13:45,1856.385,1856.743,1849.272,1850.226,192652900.0
2009-01-05 14:00,1853.183,1856.422,1852.441,1856.291,149729400.0
2009-01-05 14:15,1859.484,1859.58,1852.357,1853.056,239698500.0
2009-01-05 14:30,1868.061,1868.687,1859.112,1859.459,357979800.0
2009-01-05 14:45,1873.264,1873.462,1865.005,1868.452,346523600.0
2009-01-05 15:00,1882.959,1882.959,1873.355,1873.37,638472400.0
2009-01-06 09:30,1880.672,1880.672,1880.672,1880.672,22467700.0
2009-01-06 09:45,1889.338,1891.072,1873.147,1879.621,509323700.0
2009-01-06 10:00,1899.887,1903.009,1888.31,1889.043,597397600.0
2009-01-06 10:15,1908.58,1908.58,1896.549,1899.698,486420700.0
2009-01-06 10:30,1910.119,1914.39,1908.136,1908.136,547132200.0
2009-01-06 10:45,1914.417,1914.474,1903.648,1910.489,355198200.0
2009-01-06 11:00,1924.805,1924.805,1914.717,1914.896,488459900.0
2009-01-06 11:15,1921.164,1928.307,1919.897,1924.473,408770800.0
2009-01-06 11:30,1919.989,1921.402,1914.299,1921.157,279850300.0
2009-01-06 13:15,1912.699,1919.961,1908.541,1919.961,297787000.0
2009-01-06 13:30,1920.4,1921.475,1912.752,1912.759,276068800.0
2009-01-06 13:45,1926.874,1927.049,1917.448,1920.357,309826000.0
2009-01-06 14:00,1931.506,1936.857,1925.963,1926.646,473466800.0
2009-01-06 14:15,1935.126,1935.142,1930.416,1931.691,377214900.0
2009-01-06 14:30,1940.572,1941.745,1935.142,1935.142,517704300.0
2009-01-06 14:45,1944.358,1948.481,1940.616,1940.616,562977800.0
2009-01-06 15:00,1942.795,1944.081,1938.582,1944.048,587343000.0
2009-01-07 09:30,1942.671,1942.671,1942.671,1942.671,29981600.0
2009-01-07 09:45,1948.024,1951.24,1937.041,1941.397,578865900.0
2009-01-07 10:00,1940.794,1948.646,1935.853,1947.878,492767400.0
2009-01-07 10:15,1957.099,1957.474,1940.987,1941.085,408812700.0
2009-01-07 10:30,1947.876,1959.11,1947.876,1957.17,394024000.0
2009-01-07 10:45,1941.779,1948.24,1941.779,1948.24,329168100.0
