,0
0,3725.856
1,3725.249
2,3704.717
3,3701.17
4,3673.76
5,3679.825
6,3676.759
7,3654.68
8,3619.487
9,3580.628
10,3609.782
11,3603.346
12,3610.174
13,3606.361
14,3619.285
15,3612.104
16,3602.747
17,3600.609
18,3611.208
19,3604.349
20,3593.476
21,3579.561
22,3589.878
23,3589.727
24,3581.409
25,3565.682
26,3555.546
27,3542.595
28,3542.595
29,3542.595
30,3526.541
31,3470.411
32,3470.411
33,3470.411
34,3470.411
35,3470.411
36,3470.411
37,3470.411
38,3470.411
39,3470.411
40,3470.411
41,3470.411
42,3470.411
43,3470.411
44,3470.411
45,3470.411
46,3470.411
47,3470.411
48,3469.066
49,3382.177
50,3461.376
51,3464.448
52,3472.182
53,3515.566
54,3492.518
55,3499.66
56,3467.513
57,3471.836
58,3493.832
59,3480.22
60,3482.676
61,3486.294
62,3499.69
63,3491.794
64,3483.025
65,3491.777
66,3492.722
67,3499.038
68,3514.28
69,3506.707
70,3506.25
71,3494.246
72,3497.43
73,3496.5
74,3497.871
75,3489.281
76,3479.118
77,3463.392
78,3468.443
79,3434.445
80,3441.882
81,3436.241
82,3457.614
83,3451.678
84,3430.127
85,3442.642
86,3437.793
87,3424.294
88,3381.046
89,3410.175
90,3417.54
91,3437.607
92,3444.379
93,3481.72
94,3467.381
95,3476.186
96,3470.038
97,3478.78
98,3482.406
99,3484.545
100,3493.982
101,3488.588
102,3487.756
103,3491.041
104,3501.865
105,3500.082
106,3489.226
107,3493.557
108,3500.512
109,3505.132
110,3494.047
111,3496.786
112,3476.422
113,3482.123
114,3484.107
115,3474.552
116,3472.378
117,3479.711
118,3485.979
119,3485.706
120,3495.225
121,3492.291
122,3490.955
123,3485.564
124,3485.657
125,3479.27
126,3488.562
127,3495.282
128,3502.201
129,3505.816
130,3513.435
131,3519.01
132,3523.981
133,3518.679
134,3515.538
135,3531.344
136,3528.204
137,3523.375
138,3525.706
139,3539.582
140,3536.581
141,3534.472
142,3525.846
143,3533.074
144,3535.645
145,3537.17
146,3539.808
147,3481.15
148,3472.242
149,3399.52
150,3349.294
151,3349.294
152,3349.294
153,3284.737
154,3284.737
155,3284.737
156,3284.737
157,3284.737
158,3284.737
159,3284.737
160,3284.737
161,3284.737
162,3284.737
163,3284.737
164,3284.737
165,3284.737
166,3284.737
167,3284.737
168,3284.737
169,3284.737
170,3284.737
171,3284.737
172,3284.737
173,3284.737
174,3284.737
175,3284.737
176,3284.737
177,3284.737
178,3284.737
179,3284.737
180,3284.737
181,3284.737
182,3284.737
183,3284.737
184,3284.737
185,3284.737
186,3284.737
187,3284.737
188,3284.737
189,3284.737
190,3284.737
191,3284.737
192,3284.737
193,3284.737
194,3284.737
195,3294.384
196,3371.871
197,3350.257
198,3360.093
199,3308.816
200,3269.359
201,3300.02
202,3348.234
203,3341.56
204,3337.605
205,3350.717
206,3363.103
207,3364.49
208,3364.83
209,3348.388
210,3357.001
211,3354.94
212,3351.412
213,3333.758
214,3340.32
215,3341.841
216,3350.032
217,3349.57
218,3349.953
219,3373.929
220,3384.991
221,3392.297
222,3388.214
223,3387.251
224,3396.737
225,3392.651
226,3414.764
227,3407.254
228,3400.628
229,3402.151
230,3399.956
231,3380.294
232,3384.578
233,3385.921
234,3382.675
235,3371.572
236,3373.378
237,3372.507
238,3382.331
239,3373.905
240,3376.496
241,3375.686
242,3361.447
243,3361.195
244,3361.563
245,3303.125
246,3301.679
247,3307.526
248,3310.505
249,3327.006
250,3322.437
251,3324.773
252,3339.189
253,3334.327
254,3337.369
255,3331.907
256,3321.347
257,3321.163
258,3334.086
259,3324.916
260,3323.922
261,3310.035
262,3315.415
263,3320.273
264,3310.135
265,3296.488
266,3289.704
267,3274.414
268,3278.644
269,3288.8
270,3277.981
271,3284.163
272,3285.921
273,3253.056
274,3260.57
275,3260.986
276,3278.171
277,3273.617
278,3292.078
279,3288.028
280,3279.61
281,3275.878
282,3269.471
283,3276.142
284,3282.152
285,3268.559
286,3263.309
287,3234.332
288,3246.304
289,3218.962
290,3203.626
291,3208.226
292,3196.448
293,3192.45
294,3214.823
295,3209.137
296,3186.513
297,3224.697
298,3238.067
299,3230.179
300,3223.659
301,3218.613
302,3201.368
303,3210.541
304,3220.474
305,3215.866
306,3205.982
307,3205.679
308,3196.577
309,3188.499
310,3180.509
311,3196.107
312,3195.186
313,3214.26
314,3207.887
315,3210.135
316,3210.354
317,3227.171
318,3225.288
319,3229.114
320,3230.671
321,3226.747
322,3225.611
323,3217.575
324,3223.03
325,3230.734
326,3231.351
327,3234.996
328,3239.479
329,3227.778
330,3216.058
331,3219.601
332,3217.604
333,3211.296
334,3220.843
335,3234.003
336,3228.769
337,3219.742
338,3226.756
339,3220.581
340,3206.669
341,3212.63
342,3215.71
343,3240.484
344,3239.379
345,3233.492
346,3223.999
347,3230.159
348,3243.706
349,3242.819
350,3243.528
351,3253.663
352,3256.584
353,3250.77
354,3242.998
355,3244.952
356,3237.365
357,3242.701
358,3249.528
359,3245.796
360,3247.565
361,3244.911
362,3237.555
363,3230.92
364,3232.869
365,3227.118
366,3214.301
367,3221.153
368,3214.557
369,3201.324
370,3207.843
371,3221.568
372,3218.43
373,3209.19
374,3213.771
375,3228.8
376,3230.669
377,3221.052
378,3214.677
379,3217.436
380,3208.033
381,3215.126
382,3219.56
383,3215.536
384,3208.219
385,3183.151
386,3191.579
387,3196.752
388,3179.985
389,3165.452
390,3165.438
391,3155.879
392,3076.645
393,3084.609
394,3120.849
395,3121.85
396,3109.655
397,3120.003
398,3143.072
399,3140.643
400,3129.185
401,3135.964
402,3124.658
403,3129.083
404,3147.186
405,3141.2
406,3132.653
407,3117.907
408,3120.929
409,3112.4
410,3121.969
411,3124.334
412,3139.169
413,3135.681
414,3139.835
415,3133.041
416,3136.67
417,3137.517
418,3138.5
419,3146.147
420,3156.843
421,3153.641
422,3170.913
423,3176.828
424,3192.992
425,3186.73
426,3177.222
427,3180.33
428,3181.857
429,3201.886
430,3204.687
431,3204.74
432,3199.373
433,3191.667
434,3201.061
435,3198.124
436,3225.28
437,3218.769
438,3219.907
439,3215.926
440,3221.571
441,3200.888
442,3199.313
443,3210.234
444,3209.136
445,3199.418
446,3199.329
447,3214.764
448,3211.813
449,3201.471
450,3189.639
451,3193.873
452,3197.261
453,3193.981
454,3183.854
455,3178.472
456,3185.424
457,3185.036
458,3191.684
459,3184.938
460,3186.747
461,3189.762
462,3192.79
463,3188.805
464,3176.799
465,3172.533
466,3163.51
467,3139.439
468,3141.152
469,3150.034
470,3142.223
471,3125.089
472,3128.183
473,3145.163
474,3142.239
475,3133.937
476,3134.061
477,3157.692
478,3153.907
479,3145.689
480,3136.054
481,3130.485
482,3106.72
483,3113.483
484,3132.926
485,3124.437
486,3112.014
487,3103.924
488,3108.295
489,3118.73
490,3068.235
491,3091.987
492,3116.524
493,3130.306
494,3122.594
495,3121.523
496,3120.543
497,3134.751
498,3128.271
499,3130.775
500,3119.793
501,3116.963
502,3114.698
503,3101.645
504,3103.935
505,3094.467
506,3108.028
507,3114.313
508,3113.385
509,3115.739
510,3108.358
511,3109.448
